               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 107,            0.011422,           0.0043204,                   0,              0.9998,                   1,               0.995,             0.99469,           0.0042758,           0.0020911,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.010796,           0.0042385,                   0,              0.9998,                   1,               0.995,             0.91284,           0.0065096,           0.0023647,                   0,            0.006469,            0.006469,            0.006469
                 109,           0.0098995,           0.0041358,                   0,             0.99981,                   1,               0.995,             0.98248,           0.0043594,           0.0021482,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.010101,           0.0040703,                   0,             0.99981,                   1,               0.995,             0.93272,           0.0047536,           0.0022357,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.011144,           0.0043252,                   0,             0.99982,                   1,               0.995,             0.97428,           0.0042834,           0.0021433,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.011021,           0.0040716,                   0,             0.99982,                   1,               0.995,             0.93894,           0.0047243,           0.0020641,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.010449,           0.0042888,                   0,             0.99981,                   1,               0.995,             0.93589,           0.0061643,           0.0023549,                   0,            0.006304,            0.006304,            0.006304
                 114,           0.0095282,           0.0041883,                   0,             0.99982,                   1,               0.995,             0.98965,           0.0057282,           0.0023081,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.010534,           0.0041315,                   0,             0.99982,                   1,               0.995,             0.98911,           0.0044158,             0.00215,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.010452,           0.0043074,                   0,             0.99982,                   1,               0.995,             0.96658,           0.0048261,              0.0021,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.010434,           0.0043848,                   0,             0.99982,                   1,               0.995,              0.9753,           0.0043959,           0.0019985,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.011068,           0.0042418,                   0,             0.99982,                   1,               0.995,             0.94637,           0.0047728,           0.0022205,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.010888,           0.0042269,                   0,             0.99981,                   1,               0.995,             0.97391,           0.0038899,           0.0019769,                   0,            0.006106,            0.006106,            0.006106
