               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.014793,            0.005389,                   0,             0.99978,                   1,               0.995,             0.88362,           0.0068721,           0.0029884,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.014735,           0.0053974,                   0,             0.99978,                   1,               0.995,             0.93644,           0.0068989,           0.0029443,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.014553,           0.0050506,                   0,             0.99976,                   1,               0.995,             0.85419,           0.0087251,            0.002938,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.015524,           0.0057993,                   0,             0.99978,                   1,               0.995,             0.88517,           0.0088573,           0.0032006,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.014298,           0.0053801,                   0,             0.99978,                   1,               0.995,             0.86066,            0.010261,           0.0035401,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.013958,           0.0052786,                   0,             0.99979,                   1,               0.995,             0.87416,            0.011418,           0.0030412,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.015525,           0.0053777,                   0,             0.99981,                   1,               0.995,             0.91935,           0.0065624,           0.0028003,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.013934,            0.005204,                   0,              0.9998,                   1,               0.995,             0.97317,            0.005019,           0.0027309,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.012735,           0.0050378,                   0,             0.99979,                   1,               0.995,              0.8521,           0.0089769,           0.0031061,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.015417,           0.0055372,                   0,              0.9998,                   1,               0.995,             0.92252,            0.006263,           0.0028328,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.013759,           0.0051535,                   0,              0.9998,                   1,               0.995,              0.9083,           0.0058466,            0.002794,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.013395,           0.0050819,                   0,             0.99981,                   1,               0.995,             0.89443,           0.0074586,           0.0029649,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.012847,           0.0049688,                   0,              0.9998,                   1,               0.995,             0.87438,           0.0071965,           0.0030197,                   0,            0.007723,            0.007723,            0.007723
                  71,             0.01441,           0.0052076,                   0,              0.9998,                   1,               0.995,             0.91131,           0.0067772,            0.002897,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.014993,           0.0048722,                   0,              0.9998,                   1,               0.995,             0.85382,            0.011088,           0.0028801,                   0,            0.007657,            0.007657,            0.007657
